jud,uat,ALTII_pct,CĂLIN GEORGESCU_pct,ELENA-VALERICA LASCONI_pct,GEORGE-NICOLAE SIMION_pct,HUNOR KELEMEN_pct,ION-MARCEL CIOLACU_pct,NICOLAE-IONEL CIUCĂ_pct,Prezenta,Castigator,Procent castigator,Lat,Long,Mediu
BUZĂU,COZIENI,4.76,17.74,5.45,13.83,0,43.99,14.25,52.29,ION-MARCEL CIOLACU,43.99,45.33689517,26.4926559,RURAL
BUZĂU,CĂNEȘTI,5.67,12.11,8.76,12.63,0,58.51,2.32,74.3,ION-MARCEL CIOLACU,58.51,45.39768058,26.60806195,RURAL
BUZĂU,CĂTINA,4.91,17.72,8.02,14.85,0.12,50.54,3.83,45.37,ION-MARCEL CIOLACU,50.54,45.29998126,26.24991258,RURAL
BUZĂU,FLORICA,5.24,20.49,5.57,9.34,0,57.05,2.3,63.98,ION-MARCEL CIOLACU,57.05,44.91076977,26.76155287,RURAL
BUZĂU,GHERGHEASA,5.5,21.24,6.77,14.12,0.23,49.02,3.1,51.22,ION-MARCEL CIOLACU,49.02,45.28598775,27.18743779,RURAL
BUZĂU,GHERĂSENI,5.96,26.64,12.44,12.44,0.53,39.39,2.6,51.14,ION-MARCEL CIOLACU,39.39,45.00212117,26.79720068,RURAL
BUZĂU,GLODEANU SĂRAT,4.56,23.31,5.16,11.6,0.22,26.53,28.63,60.34,NICOLAE-IONEL CIUCĂ,28.63,44.86436642,26.66109465,RURAL
BUZĂU,GLODEANU-SILIȘTEA,6.88,24.11,4.93,16.19,0.14,44.61,3.13,57.18,ION-MARCEL CIOLACU,44.61,44.83796457,26.77978815,RURAL
BUZĂU,GREBĂNU,4.7,20.98,4.93,12.11,0.09,51.57,5.63,50.97,ION-MARCEL CIOLACU,51.57,45.37150325,26.96157754,RURAL
BUZĂU,GURA TEGHII,6.42,24.97,10.11,14.52,0.2,36.68,7.1,57.66,ION-MARCEL CIOLACU,36.68,45.59945011,26.41974502,RURAL
BUZĂU,GĂLBINAȘI,5.03,29.38,10.39,15.21,0.11,37.12,2.76,53.34,ION-MARCEL CIOLACU,37.12,45.05466394,26.95983681,RURAL
BUZĂU,LARGU,2.12,15.17,5.22,14.85,0,60.03,2.61,54.33,ION-MARCEL CIOLACU,60.03,44.95839126,27.14533333,RURAL
BUZĂU,LOPĂTARI,5.11,25.79,6.69,12.41,0.35,44.01,5.63,44.53,ION-MARCEL CIOLACU,44.01,45.53408733,26.55584535,RURAL
BUZĂU,LUCIU,4.33,26.13,3.75,15.85,0.19,48.22,1.54,49.44,ION-MARCEL CIOLACU,48.22,44.97200132,27.06137547,RURAL
BUZĂU,MEREI,7.79,22.96,10.61,13.22,0.19,40.74,4.5,58.35,ION-MARCEL CIOLACU,40.74,45.13211557,26.66960304,RURAL
BUZĂU,MIHĂILEȘTI,3.91,19.67,5.86,19.53,0.28,47.42,3.35,46.79,ION-MARCEL CIOLACU,47.42,44.92358378,26.68004355,RURAL
BUZĂU,MOVILA BANULUI,3.71,19.7,4.49,7.88,0.08,58.63,5.52,66.58,ION-MARCEL CIOLACU,58.63,44.97170056,26.70714566,RURAL
BUZĂU,MUNICIPIUL BUZĂU,13.19,19.63,16.26,10.22,0.19,36.05,4.45,48.46,ION-MARCEL CIOLACU,36.05,45.13821246,26.81726015,URBAN
BUZĂU,MUNICIPIUL RÂMNICU SĂRAT,9.61,25.81,10.08,13.34,0.11,37.42,3.63,45.55,ION-MARCEL CIOLACU,37.42,45.41023868,27.09016436,URBAN
BUZĂU,MURGEȘTI,5,15.95,3.1,12.14,0,60.48,3.33,66.06,ION-MARCEL CIOLACU,60.48,45.4001878,26.88521573,RURAL
BUZĂU,MÂNZĂLEȘTI,3.9,23.86,5.86,13.12,0.11,47.61,5.53,54.14,ION-MARCEL CIOLACU,47.61,45.53639301,26.6290416,RURAL
BUZĂU,MĂGURA,7.07,17.28,9.47,13.42,0.18,49.36,3.22,64.59,ION-MARCEL CIOLACU,49.36,45.26155176,26.56761722,RURAL
BUZĂU,MĂRGĂRITEȘTI,1.65,14.11,4.98,7.47,0,64.73,7.05,57.89,ION-MARCEL CIOLACU,64.73,45.4349166,26.83269524,RURAL
BUZĂU,MĂRĂCINENI,9.32,26.77,10.94,13.35,0.1,36.71,2.81,53.89,ION-MARCEL CIOLACU,36.71,45.20003477,26.80830394,RURAL
BUZĂU,NĂENI,4.85,11.83,5.27,12.47,0,20.86,44.73,77.63,NICOLAE-IONEL CIUCĂ,44.73,45.09758197,26.48401773,RURAL
BUZĂU,ODĂILE,5.18,18.15,4.81,8.52,0.37,57.78,5.19,51.12,ION-MARCEL CIOLACU,57.78,45.38692277,26.54823646,RURAL
BUZĂU,ORAȘ NEHOIU,9.16,23.9,11.14,14.68,0.31,35.29,5.52,57.56,ION-MARCEL CIOLACU,35.29,45.41681555,26.30801935,URBAN
BUZĂU,ORAȘ POGOANELE,4.98,23.93,6.9,16.28,0.11,43.7,4.13,49.11,ION-MARCEL CIOLACU,43.7,44.90349133,26.98889948,URBAN
BUZĂU,ORAȘ PĂTÂRLAGELE,7.64,21.57,10.87,15.27,0.17,39.81,4.65,48.62,ION-MARCEL CIOLACU,39.81,45.32561603,26.34049313,URBAN
BUZĂU,PADINA,5.12,27.8,6.49,12.1,0.32,39.5,8.65,44.62,ION-MARCEL CIOLACU,39.5,44.83101282,27.12771771,RURAL
BUZĂU,PARDOȘI,1.72,5.15,3.43,8.58,0.43,78.54,2.15,87.78,ION-MARCEL CIOLACU,78.54,45.4511496,26.87347999,RURAL
BUZĂU,PIETROASELE,6.69,21.22,9.69,15.96,0.17,42.86,3.43,47.93,ION-MARCEL CIOLACU,42.86,45.09297757,26.59222363,RURAL
